state,county,collection_date,date_detected,hpai_strain,bird_species,woah_classification,sampling_method,submitting_agency
West Virginia,Monongalia,2025-02-18 00:00:00,2025-02-27 00:00:00,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
West Virginia,Monongalia,2025-02-18 00:00:00,2025-02-27 00:00:00,EA H5N1,Canada goose,Wild bird,Morbidity/Mortality,NWDP
Massachusetts,Worcester,2025-02-18 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Texas,Bexar,2025-02-13 00:00:00,2025-02-27 00:00:00,EA H5,Black vulture,Wild bird,Morbidity/Mortality,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
Maine,York,2025-02-20 00:00:00,2025-02-27 00:00:00,EA H5,Mallard,Wild bird,Live bird,NWDP
